| №   | Дата/время         | Температура | Осадки (мм)  |
|-----|--------------------|-------------|--------------|
| 1   | 2025-05-31T00:00   | 19,3        | 0,00         |
| 2   | 2025-05-31T01:00   | 18,7        | 0,00         |
| 3   | 2025-05-31T02:00   | 18,1        | 0,00         |
| 4   | 2025-05-31T03:00   | 17,9        | 0,00         |
| 5   | 2025-05-31T04:00   | 17,8        | 0,00         |
| 6   | 2025-05-31T05:00   | 18,3        | 0,00         |
| 7   | 2025-05-31T06:00   | 19,1        | 0,00         |
| 8   | 2025-05-31T07:00   | 20,6        | 0,00         |
| 9   | 2025-05-31T08:00   | 22,1        | 0,00         |
| 10  | 2025-05-31T09:00   | 23,7        | 0,00         |
| 11  | 2025-05-31T10:00   | 25,9        | 0,00         |
| 12  | 2025-05-31T11:00   | 28,0        | 0,00         |
| 13  | 2025-05-31T12:00   | 29,1        | 0,00         |
| 14  | 2025-05-31T13:00   | 29,7        | 0,00         |
| 15  | 2025-05-31T14:00   | 29,8        | 0,00         |
| 16  | 2025-05-31T15:00   | 29,8        | 0,00         |
| 17  | 2025-05-31T16:00   | 29,7        | 0,00         |
| 18  | 2025-05-31T17:00   | 27,9        | 0,00         |
| 19  | 2025-05-31T18:00   | 26,0        | 0,00         |
| 20  | 2025-05-31T19:00   | 24,0        | 0,00         |
| 21  | 2025-05-31T20:00   | 23,0        | 0,00         |
| 22  | 2025-05-31T21:00   | 21,4        | 0,00         |
| 23  | 2025-05-31T22:00   | 19,9        | 0,00         |
| 24  | 2025-05-31T23:00   | 18,9        | 0,00         |
